INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (1, '20240001', 'daltonstainburn', 'PATIENT', 'alfred','cruz', '09197765432');
INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (2, '20240002', 'juanacrenshaw', 'PATIENT', 'john','cruz', '09197765432');
INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (3, '20240003', 'hedvigeharbottle', 'PATIENT', 'anna','cruz', '09197765432');
INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (4, '20240004', 'donnellnicolson', 'PATIENT', 'kim','cruz', '09197765432');
INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (5, '20240005', 'ashleighryhorovich', 'PATIENT', 'keith','cruz', '09197765432');



INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (1, '20240001', 'daltonstainburn', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (20, '20240020', 'fonzfallens', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (21, '20240021', 'valentinaprattin', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (22, '20240022', 'roxytrank', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (23, '20240023', 'rosmundaconnors', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (24, '20240024', 'harriaujouanet', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (25, '20240025', 'roxyosban', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (26, '20240026', 'farandhughesdon', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (27, '20240027', 'rheamccudden', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (28, '20240028', 'raecockshtt', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (29, '20240029', 'rooseveltcarlino', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (30, '20240030', 'kettibarke', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (31, '20240031', 'rosalindgoodbanne', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (32, '20240032', 'finnboagey', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (33, '20240033', 'koryruseworth', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (34, '20240034', 'adelheidhasted', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (35, '20240035', 'guillemettenorthey', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (36, '20240036', 'aliewemm', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (37, '20240037', 'tonyturrell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (38, '20240038', 'nonnapattini', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (39, '20240039', 'xevermerrill', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (40, '20240040', 'cosimoitzchaky', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (41, '20240041', 'murialoverthrow', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (42, '20240042', 'dellnemchinov', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (43, '20240043', 'cassyheino', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (44, '20240044', 'rowneypebworth', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (45, '20240045', 'jeanegoddert.sf', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (46, '20240046', 'analieseseeler', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (47, '20240047', 'yankeerennebeck', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (48, '20240048', 'renatopersey', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (49, '20240049', 'isadorwigg', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (50, '20240050', 'blanchkonzel', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (51, '20240051', 'hammadhamman', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (52, '20240052', 'lissimayoh', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (53, '20240053', 'rancellfrears', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (54, '20240054', 'bellancavaissiere', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (55, '20240055', 'nitajacqueminet', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (56, '20240056', 'malvinweond', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (57, '20240057', 'germainzorzini', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (58, '20240058', 'rickydoulton', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (59, '20240059', 'marnieyukhnevich', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (60, '20240060', 'wayheakins', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (61, '20240061', 'mureilsayburn', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (62, '20240062', 'christeanmcilreavy', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (63, '20240063', 'earlkember', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (64, '20240064', 'rosettakaiser', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (65, '20240065', 'britsalling', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (66, '20240066', 'paquitoenrico', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (67, '20240067', 'reesecounsell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (68, '20240068', 'leannvella', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (69, '20240069', 'tuckiemackrill', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (70, '20240070', 'orellaelven', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (71, '20240071', 'antoniuswarrender', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (72, '20240072', 'aloinmcmurraya', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (73, '20240073', 'joannesborles', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (74, '20240074', 'dennamacrorie', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (75, '20240075', 'zakconstance', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (76, '20240076', 'rodsiverns', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (77, '20240077', 'archydaldry', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (78, '20240078', 'iggycordelet', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (79, '20240079', 'barrsabbins', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (80, '20240080', 'kendricksboggis', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (81, '20240081', 'normysloat', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (82, '20240082', 'eddiealderson', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (83, '20240083', 'sigridclemintoni', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (84, '20240084', 'hubeylentsch', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (85, '20240085', 'rosannabulluck', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (86, '20240086', 'tansyjamrowicz', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (87, '20240087', 'amepapachristophorou', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (88, '20240088', 'currtroke', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (89, '20240089', 'juledran', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (90, '20240090', 'starlenefalk', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (91, '20240091', 'yuriyanukhin', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (92, '20240092', 'kathiepencot', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (93, '20240093', 'anastasiastirling', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (94, '20240094', 'codipretsell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (95, '20240095', 'boyceoverton', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (96, '20240096', 'florehedlestone', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (97, '20240097', 'ronnietift', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (98, '20240098', 'morrykruse', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (99, '20240099', 'amandyolding', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (100, '20240100', 'morlygrissett', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (101, '20240101', 'cortybleckly', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (102, '20240102', 'johanneslomen', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (103, '20240103', 'reuvenhaxbie', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (104, '20240104', 'dulcineplaunch', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (105, '20240105', 'krishissett', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (106, '20240106', 'moniquedybald', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (107, '20240107', 'beaufortjoire', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (108, '20240108', 'noblemack', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (109, '20240109', 'cesyafellibrand', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (110, '20240110', 'chickmcconville', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (111, '20240111', 'witcastana', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (112, '20240112', 'vikkiwestberg', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (113, '20240113', 'veramonks', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (114, '20240114', 'carverrewbottom', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (115, '20240115', 'traceecoase', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (116, '20240116', 'lawmuat', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (117, '20240117', 'gennaramsbottom', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (118, '20240118', 'manadamczyk', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (119, '20240119', 'lesliedance', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (120, '20240120', 'twylaraselles', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (121, '20240121', 'hobiecorzor', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (122, '20240122', 'barbaraannemoulsdall', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (123, '20240123', 'leupoldacuna', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (124, '20240124', 'floriealibone', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (125, '20240125', 'adriakillen', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (126, '20240126', 'gradyislip', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (127, '20240127', 'rinaldomoohan', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (128, '20240128', 'theoconiff', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (129, '20240129', 'theogadsden', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (130, '20240130', 'gamalielbenard', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (131, '20240131', 'marticastorks', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (132, '20240132', 'doralinralston', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (133, '20240133', 'reinholdjudron', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (134, '20240134', 'vedasporle', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (135, '20240135', 'uriahnoli', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (136, '20240136', 'shainaduck', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (137, '20240137', 'leahteresse', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (138, '20240138', 'keenbrotherhead', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (139, '20240139', 'inglissappell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (140, '20240140', 'emsimonyi', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (141, '20240141', 'coletavramovsky', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (142, '20240142', 'galbrabban', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (143, '20240143', 'thadeusbullivant', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (144, '20240144', 'lyndywanklyn', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (145, '20240145', 'karlottasheraton', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (146, '20240146', 'carmeliaollivier', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (147, '20240147', 'lovelldelboux', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (148, '20240148', 'corneliaprangnell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (149, '20240149', 'bertrandthomassin', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (150, '20240150', 'claudiancowlard', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (151, '20240151', 'mackenziecubbinelli', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (152, '20240152', 'bertrandoambrosini', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (153, '20240153', 'annissagorsse', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (154, '20240154', 'levifugere', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (155, '20240155', 'kainemoorman', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (156, '20240156', 'marvenholcroft', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (157, '20240157', 'elfredadenny', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (158, '20240158', 'edddavidson', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (159, '20240159', 'shandeighjakubovicz', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (160, '20240160', 'cordiebedome', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (161, '20240161', 'sidoniageraldini', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (162, '20240162', 'jozeflangton', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (163, '20240163', 'theodorabeastall', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (164, '20240164', 'haroldleatherland', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (165, '20240165', 'charmainvuitton', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (166, '20240166', 'celestiamatthews', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (167, '20240167', 'alejandrochisolm', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (168, '20240168', 'alikaashworth', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (169, '20240169', 'freddymorford', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (170, '20240170', 'shirleydodwell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (171, '20240171', 'dodycornilleau', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (172, '20240172', 'siffresnoad', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (173, '20240173', 'jacquelynmillmoe', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (174, '20240174', 'melodyapfler', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (175, '20240175', 'gnniadrienne', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (176, '20240176', 'shelbitincey', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (177, '20240177', 'korryhellens', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (178, '20240178', 'tanicraney', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (179, '20240179', 'corrirutherford', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (180, '20240180', 'moynaurrey', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (181, '20240181', 'moreenrosenstiel', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (182, '20240182', 'chiltonferon', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (183, '20240183', 'tobiahboddie', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (184, '20240184', 'dacyhesse', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (185, '20240185', 'winnahchazette', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (186, '20240186', 'hamnetdulton', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (187, '20240187', 'ailenebarfitt', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (188, '20240188', 'lanewinchcombe', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (189, '20240189', 'lucinebabbage', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (190, '20240190', 'harcourtbenedicto', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (191, '20240191', 'haleighphillcock', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (192, '20240192', 'linoelreside', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (193, '20240193', 'wernherhuckell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (194, '20240194', 'bronsnoding', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (195, '20240195', 'krislenoir', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (196, '20240196', 'prycecoplestone', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (197, '20240197', 'edasobieski', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (198, '20240198', 'peytonkolodziej', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (199, '20240199', 'keeleygeyton', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (200, '20240200', 'deniceriden', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (201, '20240201', 'derwinbon', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (202, '20240202', 'petuniacubin', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (203, '20240203', 'anne-mariemccuis', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (204, '20240204', 'sampsonsummerell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (205, '20240205', 'orinst angel', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (206, '20240206', 'berriehebbron', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (207, '20240207', 'onofredochapell', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (208, '20240208', 'muriellemoorman', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (209, '20240209', 'michelinabradbeer', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (210, '20240210', 'fostercraft', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (211, '20240211', 'woodvan ross', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (212, '20240212', 'gearaltmacelharge', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (213, '20240213', 'renaranahan', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (214, '20240214', 'loreenswinbourne', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (215, '20240215', 'torrencehamerton', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (216, '20240216', 'dulseayakushkev', 'PATIENT');
